country_code,region_code,country,region,year,min_percent_canopy_density,loss_ha,loss_percent,extent_ha,extent_percent,gain_ha,gain_percent
PER,3,Peru,Apurímac,2011,15,134,0.0966615690913813,138494,6.56795807327124,35.4166666666667,0.0255479893431822
PER,3,Peru,Apurímac,2012,15,228,0.164628070530131,138266,6.55714537062198,35.4166666666667,0.0255727083243077
PER,4,Peru,Arequipa,2000,15,0,0,3696,0.0584846309320719,0,0
PER,4,Peru,Arequipa,2001,15,3,0.0811688311688312,3693,0.0584371596407309,8.41666666666667,0.227723665223665
PER,4,Peru,Arequipa,2002,15,9,0.24370430544273,3684,0.058294745766708,8.41666666666667,0.227908656015886
PER,4,Peru,Arequipa,2003,15,6,0.162866449511401,3678,0.0581998031840261,8.41666666666667,0.228465436120159
PER,4,Peru,Arequipa,2004,15,7,0.190320826536161,3671,0.0580890368375638,8.41666666666667,0.228838136668479
PER,4,Peru,Arequipa,2005,15,16,0.435848542631436,3655,0.0578358566170787,8.41666666666667,0.229274493780078
PER,4,Peru,Arequipa,2006,15,0,0,3655,0.0578358566170787,8.41666666666667,0.230278157774738
PER,4,Peru,Arequipa,2007,15,3,0.0820793433652531,3652,0.0577883853257377,8.41666666666667,0.230278157774738
PER,4,Peru,Arequipa,2008,15,3,0.0821467688937568,3649,0.0577409140343967,8.41666666666667,0.230467323840818
PER,4,Peru,Arequipa,2009,15,3,0.0822143052891203,3646,0.0576934427430558,8.41666666666667,0.230656800950032
PER,4,Peru,Arequipa,2010,15,6,0.164563905650027,3640,0.0575985001603739,8.41666666666667,0.230846589870177
PER,4,Peru,Arequipa,2011,15,5,0.137362637362637,3635,0.0575193813414722,8.41666666666667,0.231227106227106
PER,4,Peru,Arequipa,2012,15,3,0.0825309491059147,3632,0.0574719100501313,8.41666666666667,0.231545162769372
PER,5,Peru,Ayacucho,2000,15,0,0,406891,9.35433864466452,0,0
PER,5,Peru,Ayacucho,2001,15,785,0.19292636111391,406106,9.3362916595111,70,0.0172036245579283
PER,5,Peru,Ayacucho,2002,15,136,0.0334887935662118,405970,9.3331650480705,70,0.0172368790414325
PER,5,Peru,Ayacucho,2003,15,706,0.173904475700175,405264,9.31693425632742,70,0.0172426533980343
PER,5,Peru,Ayacucho,2004,15,801,0.197648939950255,404463,9.29851943453393,70,0.0172726913814205
PER,5,Peru,Ayacucho,2005,15,1030,0.25465864615552,403433,9.27483995082944,70,0.017306898282414
PER,5,Peru,Ayacucho,2006,15,1196,0.296455669218929,402237,9.24734416198422,70,0.0173510843188336
PER,5,Peru,Ayacucho,2007,15,889,0.221013979320649,401348,9.22690623867035,70,0.017402675537059
PER,5,Peru,Ayacucho,2008,15,392,0.0976708492380677,400956,9.21789424098863,70,0.0174412230782264
PER,5,Peru,Ayacucho,2009,15,1525,0.380340985045741,399431,9.18283481123198,70,0.017458274723411
PER,5,Peru,Ayacucho,2010,15,605,0.151465459616304,398826,9.16892598827935,70,0.0175249292118038
PER,5,Peru,Ayacucho,2011,15,785,0.196827689268002,398041,9.15087900312592,70,0.017551513692688
PER,5,Peru,Ayacucho,2012,15,1883,0.473066844872764,396158,9.10758922854771,70,0.0175861280621845
PER,6,Peru,Cajamarca,2000,15,0,0,1280025,38.9374363666728,0,0
PER,6,Peru,Cajamarca,2001,15,2063,0.161168727173297,1277962,38.8746813960867,429.333333333333,0.0335410115687845
PER,6,Peru,Cajamarca,2002,15,2128,0.166515123297876,1275834,38.8099491724283,429.333333333333,0.0335951564548346
PER,6,Peru,Cajamarca,2003,15,1552,0.121645919453471,1274282,38.7627384529181,429.333333333333,0.0336511907766475
PER,6,Peru,Cajamarca,2004,15,1425,0.111827680215211,1272857,38.7193909817183,429.333333333333,0.0336921759338461
PER,6,Peru,Cajamarca,2005,15,2736,0.21494951907402,1270121,38.6361638370147,429.333333333333,0.0337298952932917
PER,6,Peru,Cajamarca,2006,15,2461,0.193761066858984,1267660,38.5613019937707,429.333333333333,0.0338025537199474
PER,6,Peru,Cajamarca,2007,15,2005,0.158165438682297,1265655,38.5003113413107,429.333333333333,0.0338681770611468
PER,6,Peru,Cajamarca,2008,15,2158,0.170504600384781,1263497,38.4346665393113,429.333333333333,0.0339218296718563
PER,6,Peru,Cajamarca,2009,15,2180,0.172537014334027,1261317,38.3683525131951,429.333333333333,0.0339797667373435
PER,6,Peru,Cajamarca,2010,15,2924,0.231821183730973,1258393,38.279406544221,429.333333333333,0.0340384957416203
PER,6,Peru,Cajamarca,2011,15,1653,0.131358009779139,1256740,38.2291234776292,429.333333333333,0.0341175875369088
PER,6,Peru,Cajamarca,2012,15,3100,0.246669955599408,1253640,38.1348237157209,429.333333333333,0.034162462667961
PER,7,Peru,Callao,2000,15,0,0,1570,2.00421267632604,0,0
PER,7,Peru,Callao,2001,15,1,0.0636942675159236,1569,2.00293610774239,4.75,0.302547770700637
PER,7,Peru,Callao,2002,15,1,0.0637348629700446,1568,2.00165953915874,4.75,0.302740599107712
PER,7,Peru,Callao,2003,15,0,0,1568,2.00165953915874,4.75,0.302933673469388
PER,7,Peru,Callao,2004,15,1,0.0637755102040816,1567,2.00038297057509,4.75,0.302933673469388
PER,7,Peru,Callao,2005,15,3,0.1914486279515,1564,1.99655326482415,4.75,0.303126994256541
PER,7,Peru,Callao,2006,15,0,0,1564,1.99655326482415,4.75,0.303708439897698
PER,7,Peru,Callao,2007,15,4,0.255754475703325,1560,1.99144699048956,4.75,0.303708439897698
PER,7,Peru,Callao,2008,15,1,0.0641025641025641,1559,1.99017042190592,4.75,0.30448717948718
PER,7,Peru,Callao,2009,15,3,0.192431045542014,1556,1.98634071615498,4.75,0.304682488774856
PER,7,Peru,Callao,2010,15,2,0.12853470437018,1554,1.98378757898768,4.75,0.305269922879177
